N° de compte;Intitulé du compte;Catégorie
6550000;Quotes-parts de résultat sur opérations faites en commun;PCG
6551000;Quote-part de bénéfice transférée - comptabilité du gérant;PCG
6555000;Quote-part de perte supportée - comptabilité des associés non gérants;PCG
6560000;Pertes de change sur créances et dettes commerciales;PCG
6570000;Valeur comptable des immobilisations incorporelles et corporelles cédées;PCG
6580000;Pénalités et autres charges;PCG
6581000;Pénalités sur marchés (et dédits payés sur achats et ventes);PCG
6582000;Pénalités, amendes fiscales et pénales;PCG
6583000;Malis provenant de clauses d'indexation;PCG
6584000;Lots;PCG
6588000;Opération de constitution ou liquidation des fiducies;PCG
6610000;Charges d'intérêts;PCG
6611000;Intérêts des emprunts et dettes;PCG
6611600;Intérets des emprunts et dettes assimilées;PCG
6612000;Charges de la fiducie, résultat de la période;PCG
6615000;intérêts des comptes courants et des dépôts créditeurs;PCG
6616000;Interêts bancaires;PCG
6617000;Intérêts des obligations cautionnées;PCG
6618000;Intérêts des autres dettes;PCG
6640000;Pertes sur créances liées à des participations;PCG
6650000;Escomptes accordés;PCG
6660000;Pertes de change financières;PCG
6670000;Charges nettes sur cession d'éléments financiers;PCG
6671000;Valeurs comptables des immobilisations financières cédées;PCG
6672000;Charges nettes sur cessions de titres immobilisés de l'activité de portefeuille;PCG
6673000;Charges nettes sur cessions de valeurs mobilières de placement;PCG
6674000;Charges nettes sur cessions de jetons;PCG
6680000;Autres charges financières;PCG
6683000;Mali provenant du rachat par l'entité d'actions et obligations émises par elle-même;PCG
6720000;Charges exceptionnelles (compte à la disposition des entités pour enregistrer en cours d'exercice les charges sur exercices antérieurs);PCG
6750000;Valeurs comptable des éléments d'actifs cédé;PCG
6780000;Autres charges exceptionnelles;PCG
6810000;Dotations aux amortissements, aux dépréciations et aux provisions (à inscrire dans les charges d'exploitation);PCG
6811000;Dotations aux amortissements sur immobilisations incorporelles et coporelles;PCG
6811200;Immobilisations corporelles;PCG
6815000;Dotations aux provisions d'exploitation;PCG
6816000;Dotations aux dépréciations des immobilisations incorporelles et corporelles;PCG
6817000;Dotations aux dépréciations des actifs circulants;PCG
6860000;Dotations aux amortissements, aux dépréciations et aux provisions (à inscrire dans les charges financières);PCG
6861000;Dotations aux amortissements des primes de remboursement par emprunts;PCG
6862000;Dotations aux amortissements de frais d'émission des emprunts;PCG
6865000;Dotations aux provisions financières;PCG
6866000;Dotations pour dépréciations des éléments financiers;PCG
6870000;Dotations aux amortissements, aux dépréciations et aux provisions (à inscrire dans les charges excepteionnelles);PCG
6871000;Dotations aux amortissements exceptionnels des immobilisations;PCG
6872000;Dotations aux provisions réglementées (immobilisations);PCG
6873000;Dotations aux provisions réglementées (stocks);PCG
6874000;Dotations aux autres provisions réglementées;PCG
6875000;Dotations aux provisions exceptionnelles;PCG
6876000;Dotations pour dépréciations exceptionnelles;PCG
6910000;Participation des salariés aux résultats;PCG
6950000;Impôts sur le bénéfice;PCG
6951000;Impôts dus en France;PCG
6952000;Contribution additionnelle à l'impôt sur les bénéfices;PCG
6954000;Impôts dus à l'étranger;PCG
6960000;Suppléments d'impôts sur les sociétés liés aux distributions;PCG
6980000;Intégration fiscale;PCG
6981000;Intégration fiscale - Charges;PCG
6989000;Intégration fiscale - Produits;PCG
6990000;Produits - Report en arrière des déficits;PCG
7010000;Ventes de produits finis;PCG
7020000;Ventes de produits intermédiaires;PCG
7030000;Ventes de produits résiduels;PCG
7040000;Travaux;PCG
7050000;Etudes;PCG
7060000;Prestations de services;PCG
7061400;Ventes judiciaires - Actes, inventaires, prisées, ventes judiciaires;CNCJ
7061401;Ventes judiciaires - Honoraires acheteurs 5,5%;CNCJ
7061402;Ventes judiciaires - Honoraires acheteurs 10%;CNCJ
7061403;Ventes judiciaires - Honoraires acheteurs 20%;CNCJ
7061404;Ventes judiciares - Honoraires vendeurs 5,5%;CNCJ
7061405;Ventes judiciares - Honoraires vendeurs 10%;CNCJ
7061406;Ventes judiciares - Honoraires vendeurs 20%;CNCJ
7061407;Ventes judiciaires - Honoraires acheteurs Livraison CEE exo TVA;CNCJ
7061408;Ventes judiciaires - Honoraires acheteurs Export exo TVA;CNCJ
7061409;Ventes judiciaires - Honoraires acheteurs Franchise exo TVA;CNCJ
7061410;Ventes judiciaires - Honoraires vendeurs Livraison CEE exo TVA;CNCJ
7061411;Ventes judiciaires - Honoraires vendeurs Export exo TVA;CNCJ
7061412;Ventes judiciaires - Honoraires vendeurs Franchise exo TVA;
7061500;Ventes judiciaires - Formalités;CNCJ
7062600;Ventes judiciaires - Honoraires d'inventaires, prisées et expertises;CNCJ
7068000;Autres produits HT;CNCJ
7068100;Autres produits exo TVA;CNCJ
7070000;Ventes de marchandises;PCG
7080000;Produits des activités annexes;PCG
7081000;Produits des services exploités dans l'intérêt du personnel;PCG
7082000;Commissions et courtages;PCG
7083000;Locations diverses;PCG
7084000;Mise à disposition du personnel facturée;PCG
7085000;Ports et frais accessoires facturés;PCG
7086000;Bonis sur reprises d'emballages consignés;PCG
7088000;Débours récupérés;CNCJ
7090000;Rabais, remises et ristournes accordés;PCG
7091000;Rabais, remises et ristournes accordés sur ventes de produits finis;PCG
7092000;Rabais, remises et ristournes accordés sur ventes de produits intermédiaires;PCG
7094000;Débours payés irrécupérables;CNCJ
7095000;Rabais, remises et ristournes accordés sur études;PCG
7096000;Rabais, remises et ristournes accordés sur prestations de services;PCG
7097000;Rabais, remises et ristournes accordés sur ventes de marchandises;PCG
7098000;Rabais, remises et ristournes accordés sur produits des activités annexes;PCG
7100000;Production stockée;PCG
7130000;Variation des stocks des en-cours de production et de produits;PCG
7133000;Variation des en-cours de production et de biens;PCG
7134000;Variation des en-cours de production de services;PCG
7135000;Variation des stocks de produits;PCG
7210000;Immobilisations incorporelles;PCG
7220000;Immobilisations corporelles;PCG
7410000;Subventions d'exploitation;PCG
7420000;Subventions d'équilibre;PCG
7470000;Quote-part des subventions d'investissement virée au résultat de l'exercice;PCG
7510000;Redevances pour concessions, brevets, licences, marques, procédés, solutions informatiques, droits et valeurs similaires;PCG
7511000;Redevances pour concessions, brevets, licences, marques, procédés, solutions informatiques;PCG
7516000;Droits d'auteur et de reproduction;PCG
7518000;Autres droits et valeurs similaires;PCG
7520000;Revenus des immeubles non affectés aux activités professionnelles;PCG
7530000;Rémunérations de l'activité des administrateurs et des gérants;PCG
7540000;Ristournes perçues des coopératives provenant des excédents;PCG
7550000;Quotes-parts de résultat sur opérations faites en commun;PCG
7551000;Quote-part de perte transférée - comptabilité du gérant;PCG
7555000;Quote-part de bénéfice attribuée - comptabilité des associés non gérants;PCG
7560000;Gains de change sur créances et dettes commerciales;PCG
7570000;Produits des cessions d'immobilisations incorporelles et corporelles;PCG
7580000;Ecart de règlement - produits;PCG
7581000;Dédits et pénalités perçus sur achats et ventes;PCG
7582000;Libéralités reçues;PCG
7583000;Versements de la CVO;CNCJ
7584000;Dégrèvement d'impôts autres qu'impôts sur les bénéfices;PCG
7585000;Bonis provenant de clauses d'indexation;PCG
7586000;Lots;PCG
7587000;Indemnités d'assurance;PCG
7588000;Opérations de constitution ou liquidation des fiducies;PCG
7610000;Produits de participations;PCG
7611000;Revenus des titres de participation;PCG
7612000;Produits de la fiducie, résultat de la période;PCG
7616000;Revenus sur autres formes de participation;PCG
7617000;Revenus des créances rattachées à des participations;PCG
7620000;Produits des autres immobilisations financières;PCG
7621000;Revenus des titres immobilisés;PCG
7626000;Revenus des prêts;PCG
7627000;Revenus des créances immobilisées;PCG
7630000;Revenus des autres créances;PCG
7631000;Revenus des créances commerciales;PCG
7638000;Revenus des créances diverses;PCG
7640000;Revenus des valeurs mobilières de placement;PCG
7650000;Escomptes obtenus;PCG
7660000;Gains de change financiers;PCG
7670000;Produits sur cession d'élements financiers;PCG
7671000;Produits des cessions d'immobilisations financières;PCG
7672000;Produits nets sur cessions de titres immobilisés de l'activité de portefeuille;PCG
7673000;Produits nets sur cessions de valeurs mobilières de placement;PCG
7674000;Produits nets sur cessions de jetons;PCG
7680000;Autres produits financiers;PCG
7683000;Bonis provenant du rachat par l'entreprise d'actions et d'obligations émises par elle-même;PCG
7720000;Produits exceptionnels (compte à la disposition des entités pour enregistrer en cours d'exercice les produits des exercices antérieurs). ;PCG
7750000;Produits cessions d'actif;PCG
7751000;Immobilisations incorporelles;PCG
7780000;Autres produits exceptionnels;PCG
7810000;Reprises sur amortissements, dépréciations et provisions (à inscrire dans les produits d'exploitation);PCG
7811000;Reprises sur amortissements des immobilisations incorporelles et coporelles;PCG
7815000;Reprises sur provisions d'exploitation;PCG
7816000;Reprises sur dépréciations des immobilisations incoporelles et coporelles;PCG
7817000;Reprises sur dépréciations des actifs circulants;PCG
7860000;Reprises sur dépréciations et provisions (à inscrire dans les produits financiers);PCG
7865000;Reprises sur provisions financières;PCG
7866000;Reprises sur dépréciations des éléments financiers;PCG
7870000;Reprises sur dépréciations et provisions (à inscrire dans les produits exceptionnels);PCG
7872000;Reprises sur provisions réglementées (immobilisations);PCG
7873000;Reprises sur provisions réglementées (stocks);PCG
7874000;Reprises sur autres provisions réglementées;PCG
7875000;Reprises sur provisions exceptionnelles;PCG
7876000;Reprises sur dépréciations exceptionnelles;PCG
8900000;Bilan d'ouverture;PCG
8910000;Bilan de cloture;PCG
